movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1099706
霸王别姬,2,9.5,802935
这个杀手不太冷,3,9.4,1021236
阿甘正传,4,9.4,870601
美丽人生,5,9.5,508625
泰坦尼克号,6,9.3,809921
千与千寻,7,9.3,810586
辛德勒的名单,8,9.4,460672
盗梦空间,9,9.3,899953
机器人总动员,10,9.3,592458
三傻大闹宝莱坞,11,9.2,808653
忠犬八公的故事,12,9.3,569152
海上钢琴师,13,9.2,684966
放牛班的春天,14,9.2,547110
大话西游之大圣娶亲,15,9.2,600690
楚门的世界,16,9.1,575748
教父,17,9.2,407459
龙猫,18,9.1,501335
星际穿越,19,9.2,598997
熔炉,20,9.2,332721
触不可及,21,9.2,438673
无间道,22,9.1,488892
乱世佳人,23,9.2,314173
当幸福来敲门,24,8.9,644681
怦然心动,25,8.9,684141
movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1099706
霸王别姬,2,9.5,802935
这个杀手不太冷,3,9.4,1021236
阿甘正传,4,9.4,870601
美丽人生,5,9.5,508625
泰坦尼克号,6,9.3,809921
千与千寻,7,9.3,810586
辛德勒的名单,8,9.4,460672
盗梦空间,9,9.3,899953
机器人总动员,10,9.3,592458
三傻大闹宝莱坞,11,9.2,808653
忠犬八公的故事,12,9.3,569152
海上钢琴师,13,9.2,684966
放牛班的春天,14,9.2,547110
大话西游之大圣娶亲,15,9.2,600690
楚门的世界,16,9.1,575748
教父,17,9.2,407459
龙猫,18,9.1,501335
星际穿越,19,9.2,598997
熔炉,20,9.2,332721
触不可及,21,9.2,438673
无间道,22,9.1,488892
乱世佳人,23,9.2,314173
当幸福来敲门,24,8.9,644681
怦然心动,25,8.9,684141
天堂电影院,26,9.1,350147
十二怒汉,27,9.4,200790
鬼子来了,28,9.2,278885
蝙蝠侠：黑暗骑士,29,9.1,394868
疯狂动物城,30,9.1,637376
少年派的奇幻漂流,31,9.0,673608
活着,32,9.1,328020
搏击俱乐部,33,9.0,449225
指环王3：王者无敌,34,9.1,331233
天空之城,35,9.0,388728
大话西游之月光宝盒,36,8.9,483566
飞屋环游记,37,8.9,586328
罗马假日,38,8.9,448294
控方证人,39,9.6,125567
窃听风暴,40,9.1,263622
两杆大烟枪,41,9.1,309077
飞越疯人院,42,9.0,312878
闻香识女人,43,8.9,379056
哈尔的移动城堡,44,8.9,417152
辩护人,45,9.2,257091
海豚湾,46,9.3,204713
V字仇杀队,47,8.8,491028
死亡诗社,48,9.0,326207
摔跤吧！爸爸,49,9.1,567804
教父2,50,9.1,219658
指环王2：双塔奇兵,51,9.0,311112
美丽心灵,52,8.9,350023
指环王1：魔戒再现,53,8.9,348261
饮食男女,54,9.1,238209
情书,55,8.8,429845
美国往事,56,9.1,200412
狮子王,57,8.9,326234
素媛,58,9.1,220963
钢琴家,59,9.0,230532
小鞋子,60,9.2,163742
七宗罪,61,8.7,487383
天使爱美丽,62,8.7,541359
被嫌弃的松子的一生,63,8.9,340994
致命魔术,64,8.8,393985
本杰明·巴顿奇事,65,8.8,447100
音乐之声,66,8.9,263306
西西里的美丽传说,67,8.8,410335
勇敢的心,68,8.8,326635
拯救大兵瑞恩,69,8.9,277640
黑客帝国,70,8.8,324061
低俗小说,71,8.8,384242
剪刀手爱德华,72,8.7,547208
让子弹飞,73,8.7,723846
看不见的客人,74,8.7,419631
沉默的羔羊,75,8.7,399519
蝴蝶效应,76,8.7,433899
入殓师,77,8.8,348734
大闹天宫,78,9.3,121117
春光乍泄,79,8.8,284585
末代皇帝,80,9.0,206198
心灵捕手,81,8.8,311672
玛丽和马克思,82,8.9,252194
阳光灿烂的日子,83,8.8,310497
哈利·波特与魔法石,84,8.8,308404
布达佩斯大饭店,85,8.8,370465
幽灵公主,86,8.8,265411
第六感,87,8.8,264381
禁闭岛,88,8.7,411107
重庆森林,89,8.7,377561
猫鼠游戏,90,8.8,270963
狩猎,91,9.0,152290
致命ID,92,8.7,361877
大鱼,93,8.7,283818
断背山,94,8.7,361016
甜蜜蜜,95,8.8,257616
射雕英雄传之东成西就,96,8.7,309704
告白,97,8.7,383788
一一,98,8.9,174008
加勒比海盗,99,8.6,393914
穿条纹睡衣的男孩,100,8.9,175800
阳光姐妹淘,101,8.8,302941
摩登时代,102,9.2,104248
阿凡达,103,8.6,593986
上帝之城,104,8.9,172271
爱在黎明破晓前,105,8.7,250260
消失的爱人,106,8.7,406275
风之谷,107,8.8,197428
爱在日落黄昏时,108,8.8,222398
侧耳倾听,109,8.8,192994
超脱,110,8.8,198226
倩女幽魂,111,8.6,293473
恐怖直播,112,8.7,258520
红辣椒,113,8.9,155345
小森林 夏秋篇,114,8.9,157774
喜剧之王,115,8.6,364074
菊次郎的夏天,116,8.7,210260
驯龙高手,117,8.7,321256
幸福终点站,118,8.7,250026
萤火虫之墓,119,8.7,225919
借东西的小人阿莉埃蒂,120,8.7,243041
岁月神偷,121,8.6,334635
神偷奶爸,122,8.5,429904
七武士,123,9.2,86750
杀人回忆,124,8.7,232596
贫民窟的百万富翁,125,8.5,428177
电锯惊魂,126,8.7,219079
喜宴,127,8.8,156752
谍影重重3,128,8.7,199646
真爱至上,129,8.5,343885
怪兽电力公司,130,8.6,273189
东邪西毒,131,8.6,280902
记忆碎片,132,8.5,307759
海洋,133,9.0,104947
黑天鹅,134,8.5,458138
雨人,135,8.6,226973
疯狂原始人,136,8.7,408838
卢旺达饭店,137,8.9,133840
小森林 冬春篇,138,8.9,136563
英雄本色,139,8.6,192799
哈利·波特与死亡圣器(下),140,8.7,305572
燃情岁月,141,8.7,159259
7号房的礼物,142,8.7,200954
虎口脱险,143,8.9,116394
心迷宫,144,8.6,204653
萤火之森,145,8.8,181072
傲慢与偏见,146,8.5,337134
荒蛮故事,147,8.8,163615
海边的曼彻斯特,148,8.6,225098
请以你的名字呼唤我,149,8.8,205048
教父3,150,8.8,146614
恋恋笔记本,151,8.5,314326
完美的世界,152,9.0,91501
纵横四海,153,8.7,166290
花样年华,154,8.5,272844
唐伯虎点秋香,155,8.4,378814
超能陆战队,156,8.6,416883
玩具总动员3,157,8.8,210818
蝙蝠侠：黑暗骑士崛起,158,8.6,325078
时空恋旅人,159,8.6,228466
魂断蓝桥,160,8.8,140338
猜火车,161,8.5,267562
穿越时空的少女,162,8.6,202239
雨中曲,163,9.0,101184
二十二,164,8.7,118230
达拉斯买家俱乐部,165,8.7,204193
我是山姆,166,8.8,116394
人工智能,167,8.6,209008
冰川时代,168,8.5,299954
浪潮,169,8.7,145184
朗读者,170,8.5,296742
爆裂鼓手,171,8.6,262911
香水,172,8.4,301422
罗生门,173,8.7,139254
未麻的部屋,174,8.8,110943
阿飞正传,175,8.5,229571
血战钢锯岭,176,8.7,357350
一次别离,177,8.7,143678
被解救的姜戈,178,8.6,283142
可可西里,179,8.7,141219
追随,180,8.9,89427
恐怖游轮,181,8.4,361591
撞车,182,8.6,187145
战争之王,183,8.6,188389
头脑特工队,184,8.7,255520
地球上的星星,185,8.8,94300
房间,186,8.8,175848
无人知晓,187,9.0,75772
梦之安魂曲,188,8.7,121349
牯岭街少年杀人事件,189,8.8,117891
魔女宅急便,190,8.5,215079
谍影重重,191,8.5,209235
谍影重重2,192,8.6,173767
忠犬八公物语,193,9.0,68072
模仿游戏,194,8.6,281935
你的名字。,195,8.4,537139
惊魂记,196,8.9,92436
青蛇,197,8.4,243829
一个叫欧维的男人决定去死,198,8.7,138165
再次出发之纽约遇见你,199,8.5,190183
哪吒闹海,200,8.9,89968
完美陌生人,201,8.6,227145
东京物语,202,9.2,56680
小萝莉的猴神大叔,203,8.5,182885
黑客帝国3：矩阵革命,204,8.5,171599
源代码,205,8.3,440088
新龙门客栈,206,8.5,202593
终结者2：审判日,207,8.6,153287
末路狂花,208,8.7,114372
碧海蓝天,209,8.7,112757
秒速5厘米,210,8.3,328322
绿里奇迹,211,8.7,116115
这个男人来自地球,212,8.5,198819
海盗电台,213,8.6,174449
勇闯夺命岛,214,8.6,152303
城市之光,215,9.2,49231
初恋这件小事,216,8.3,501436
无耻混蛋,217,8.4,240859
卡萨布兰卡,218,8.6,134335
变脸,219,8.4,229827
E.T. 外星人,220,8.5,166998
爱在午夜降临前,221,8.8,128224
发条橙,222,8.4,199284
步履不停,223,8.8,91374
黄金三镖客,224,9.1,56355
无敌破坏王,225,8.6,201629
疯狂的石头,226,8.3,347261
美国丽人,227,8.5,198997
荒野生存,228,8.6,136578
迁徙的鸟,229,9.1,54511
英国病人,230,8.5,184348
海街日记,231,8.7,148092
彗星来的那一夜,232,8.4,201684
国王的演讲,233,8.3,365646
非常嫌疑犯,234,8.6,125679
血钻,235,8.5,145356
燕尾蝶,236,8.6,112862
聚焦,237,8.8,139866
勇士,238,8.9,93136
叫我第一名,239,8.6,116134
穆赫兰道,240,8.3,251539
遗愿清单,241,8.5,142354
枪火,242,8.6,107862
上帝也疯狂,243,8.6,102378
我爱你,244,9.0,63546
黑鹰坠落,245,8.6,126950
荒岛余生,246,8.5,146273
大卫·戈尔的一生,247,8.6,103018
千钧一发,248,8.7,94386
蓝色大门,249,8.3,286220
2001太空漫游,250,8.7,102473
