movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1021615
七武士,2,9.2,86757
蝙蝠侠：黑暗骑士,3,9.1,394928
指环王3：王者无敌,4,9.1,331330
搏击俱乐部,5,9.0,449306
指环王2：双塔奇兵,6,9.0,311151
将军号,7,9.0,8974
指环王1：魔戒再现,8,8.9,348354
攻壳机动队,9,8.9,66150
V字仇杀队,10,8.8,491168
勇敢的心,11,8.8,326690
黑客帝国,12,8.8,324150
乱,13,8.8,37220
黑客帝国动画版,14,8.8,32238
用心棒,15,8.8,15753
桥,16,8.8,12392
攻壳机动队SSS,17,8.8,10068
让子弹飞,18,8.7,724095
头号玩家,19,8.7,503938
谍影重重3,20,8.7,199654
纵横四海,21,8.7,166315
东邪西毒：终极版,22,8.7,100941
精英部队2：大敌当前,23,8.7,46996
蝙蝠侠：黑暗骑士归来(下),24,8.7,16889
椿三十郎,25,8.7,9221
铁达尼号沉没记,26,8.7,4963
阿凡达,27,8.6,594107
超能陆战队,28,8.6,417053
加勒比海盗,29,8.6,394027
蝙蝠侠：黑暗骑士崛起,30,8.6,325117
被解救的姜戈,31,8.6,283203
东邪西毒,32,8.6,280918
英雄本色,33,8.6,192870
谍影重重2,34,8.6,173803
终结者2：审判日,35,8.6,153318
勇闯夺命岛,36,8.6,152336
黑鹰坠落,37,8.6,126960
枪火,38,8.6,107879
恶童,39,8.6,50109
宾虚,40,8.6,20370
敲开天堂的门,41,8.6,9756
西线无战事,42,8.6,8058
碧血金沙,43,8.6,4299
落叶,44,8.6,4117
笔中情,45,8.6,1217
疯狂的麦克斯4：狂暴之路,46,8.5,223116
谍影重重,47,8.5,209273
新龙门客栈,48,8.5,202642
小萝莉的猴神大叔,49,8.5,182957
黑客帝国3：矩阵革命,50,8.5,171640
启示,51,8.5,48625
蜘蛛巢城,52,8.5,9773
午夜狂奔,53,8.5,9005
大菩萨岭,54,8.5,5725
兽兵卫忍风帖,55,8.5,5249
盗信情缘,56,8.5,3788
死亡的游戏,57,8.5,2208
通往自由的通道,58,8.5,1707
王牌特工：特工学院,59,8.4,373599
变脸,60,8.4,229854
速度与激情5,61,8.4,224570
黑客帝国2：重装上阵,62,8.4,155078
罪恶之城,63,8.4,139431
角斗士,64,8.4,130652
暗战,65,8.4,123639
神探,66,8.4,117299
黄海,67,8.4,90826
王牌对王牌,68,8.4,69125
盗火线,69,8.4,69058
阿基拉,70,8.4,23627
精武门,71,8.4,16827
正义联盟：闪点悖论,72,8.4,12497
杀死比尔整个血腥事件,73,8.4,11568
侠女,74,8.4,9305
最长的一天,75,8.4,7584
红线,76,8.4,4361
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,77,8.4,3685
福禄双霸天,78,8.4,1916
忍者小英雄,79,8.4,1097
红海行动,80,8.3,447703
釜山行,81,8.3,409789
速度与激情7,82,8.3,280908
金刚狼3：殊死一战,83,8.3,263941
无间道2,84,8.3,177060
蝙蝠侠：侠影之谜,85,8.3,155560
热血警探,86,8.3,94586
笑傲江湖2：东方不败,87,8.3,93523
星球大战,88,8.3,69593
太极旗飘扬,89,8.3,56038
星球大战2：帝国反击战,90,8.3,54149
天国王朝,91,8.3,51527
星球大战3：绝地归来,92,8.3,50135
喋血双雄,93,8.3,39883
一个字头的诞生,94,8.3,33040
荒野大镖客,95,8.3,22502
白色严冬,96,8.3,7523
蝙蝠侠：红影迷踪,97,8.3,7365
奏鸣曲,98,8.3,7282
日落黄沙,99,8.3,5124
战国英豪,100,8.3,4415
菜鸟总动员：毕业,101,8.3,2330
孟菲斯美女号,102,8.3,2308
飞出个未来大电影2：万背之兽,103,8.3,2303
西游记之大圣归来,104,8.2,403379
复仇者联盟3：无限战争,105,8.2,355796
X战警：逆转未来,106,8.2,276161
碟中谍4,107,8.2,270757
第九区,108,8.2,243404
霍比特人1：意外之旅,109,8.2,240062
霍比特人3：五军之战,110,8.2,209200
霍比特人2：史矛革之战,111,8.2,208353
铁甲钢拳,112,8.2,170486
飓风营救,113,8.2,139738
买凶拍人,114,8.2,97922
守望者,115,8.2,80886
英雄本色2,116,8.2,63213
星球大战前传3：西斯的复仇,117,8.2,59789
精武英雄,118,8.2,57777
最终幻想7：圣子降临,119,8.2,42343
西北偏北,120,8.2,42104
处刑人,121,8.2,34612
雌雄大盗,122,8.2,25416
猛龙过江,123,8.2,19814
追捕,124,8.2,17731
爱的曝光,125,8.2,17261
卡桑德拉大桥,126,8.2,15296
老人Z,127,8.2,5580
关山飞渡,128,8.2,4985
胜利之光,129,8.2,4911
机动警察剧场版1,130,8.2,3987
迎春阁之风波,131,8.2,2920
天与地,132,8.2,2912
战略大作战,133,8.2,2519
红河,134,8.2,1645
疤面人,135,8.2,1453
摔角狂热 30,136,8.2,1033
功夫,137,8.1,317034
变形金刚,138,8.1,262639
加勒比海盗2：聚魂棺,139,8.1,216502
杀死比尔,140,8.1,215753
X战警：第一战,141,8.1,202713
国产凌凌漆,142,8.1,179272
师父,143,8.1,162415
罗拉快跑,144,8.1,161187
孤胆特工,145,8.1,125971
空中监狱,146,8.1,120069
真实的谎言,147,8.1,103294
超人总动员2,148,8.1,84349
国家公敌,149,8.1,75532
星球大战前传1：幽灵的威胁,150,8.1,67778
虎胆龙威,151,8.1,49729
第一滴血,152,8.1,47646
监狱风云,153,8.1,46045
怒火救援,154,8.1,43565
铁雨,155,8.1,43211
夺宝奇兵3,156,8.1,36752
枪王,157,8.1,35405
野战排,158,8.1,26193
爱国者,159,8.1,24314
喋血街头,160,8.1,22796
魁拔Ⅲ战神崛起,161,8.1,21665
双旗镇刀客,162,8.1,18694
蝙蝠侠：黑暗骑士归来(上),163,8.1,14738
小倩,164,8.1,14215
龙争虎斗,165,8.1,12314
虎！虎！虎！,166,8.1,11555
碟中谍6：全面瓦解,167,8.1,5992
蝙蝠侠：元年,168,8.1,4843
遥远的桥,169,8.1,3940
变形金刚大电影,170,8.1,3478
大饭店,171,8.1,2800
跳跃大搜查线：湾岸署史上最恶的3日间,172,8.1,2464
喊山,173,8.1,2344
血染雪山堡,174,8.1,1897
太秦灯光下,175,8.1,1275
湄公河行动,176,8.0,404700
复仇者联盟,177,8.0,366825
功夫熊猫2,178,8.0,284060
银河护卫队,179,8.0,281849
明日边缘,180,8.0,265899
猩球崛起,181,8.0,263752
银河护卫队2,182,8.0,248278
后天,183,8.0,231570
加勒比海盗3：世界的尽头,184,8.0,202373
卧虎藏龙,185,8.0,195812
黑衣人,186,8.0,167028
我，机器人,187,8.0,152373
碟中谍,188,8.0,136719
树大招风,189,8.0,123816
暗杀,190,8.0,118767
星际迷航,191,8.0,104596
终结者,192,8.0,104004
勇敢者的游戏,193,8.0,85659
秘密特工,194,8.0,82454
暴力街区,195,8.0,79995
天生杀人狂,196,8.0,79216
生死时速,197,8.0,75843
未知死亡,198,8.0,60409
狗咬狗,199,8.0,45473
少林寺,200,8.0,39817
乐高蝙蝠侠大电影,201,8.0,38345
孤独的幸存者,202,8.0,33664
天若有情,203,8.0,31398
座头市,204,8.0,27292
囚室211,205,8.0,27169
僵尸先生,206,8.0,22554
亡命天涯,207,8.0,22475
刀,208,8.0,19924
实尾岛,209,8.0,19523
飞天小女警 剧场版,210,8.0,16952
少年菀得,211,8.0,12207
佐罗,212,8.0,10769
龙门客栈,213,8.0,7097
新独臂刀,214,8.0,5645
野鹅敢死队,215,8.0,5145
天劫余生,216,8.0,4325
痛击,217,8.0,3920
侠僧探案传奇之大夜叉,218,8.0,2815
飞出个未来大电影3：班德的游戏,219,8.0,2612
达摩祖师,220,8.0,1787
血洗鳄鱼仇,221,8.0,1773
忠烈图,222,8.0,1697
美丽拳王,223,8.0,1021
奈克瑟斯奥特曼剧场版,224,8.0,1016
功夫熊猫,225,7.9,322416
钢铁侠,226,7.9,259500
美国队长2,227,7.9,246155
疯狂的赛车,228,7.9,188346
星际迷航2：暗黑无界,229,7.9,156346
超人总动员,230,7.9,153459
鹿鼎记,231,7.9,149547
独立日,232,7.9,147881
第五元素,233,7.9,134935
黄飞鸿,234,7.9,67788
异形2,235,7.9,66682
危情三日,236,7.9,61400
突袭2：暴徒,237,7.9,34004
精英部队,238,7.9,28644
猎杀U-571,239,7.9,24967
决战犹马镇,240,7.9,24951
警戒结束,241,7.9,19300
蝙蝠侠：突袭阿卡姆,242,7.9,6790
斯巴达克斯,243,7.9,6718
红潮风暴,244,7.9,6168
洛奇3,245,7.9,5664
势不两立,246,7.9,4320
笑破铁幕,247,7.9,2896
省港旗兵4：地下通道,248,7.9,2718
天与地,249,7.9,2302
报仇,250,7.9,1932
第一类型危险,251,7.9,1839
众神与将军,252,7.9,1322
斩,253,7.9,1043
食神,254,7.8,206164
金刚,255,7.8,184692
无间道3：终极无间,256,7.8,143437
杀死比尔2,257,7.8,132741
生化危机,258,7.8,131012
激战,259,7.8,116413
隐秘而伟大,260,7.8,114570
狂怒,261,7.8,107417
康斯坦丁,262,7.8,100705
超级大坏蛋,263,7.8,91012
兰戈,264,7.8,88089
倩女幽魂2：人间道,265,7.8,75263
古惑仔之人在江湖,266,7.8,65840
星球大战前传2：克隆人的进攻,267,7.8,56155
黄飞鸿之二：男儿当自强,268,7.8,55261
热血高校2,269,7.8,49465
